device_type,failed_login_attempts,open_ports,total_vulnerabilities,critical_vulnerabilities,patch_age_days,network_anomaly_score,malware_alerts,privilege_escalation_attempts,previous_security_incidents,risk_level
Laptop,4,8,2,1,38,41.4,1,0,0,LOW
Workstation,8,6,2,0,69,11.0,0,2,4,MEDIUM
Server,7,4,1,1,51,10.3,0,0,1,LOW
Server,4,3,5,0,112,36.2,0,0,0,LOW
Desktop,5,6,3,0,22,0.0,0,0,0,LOW
Laptop,11,6,7,2,68,78.3,1,0,1,HIGH
Laptop,5,1,5,1,58,30.0,0,2,0,LOW
Workstation,3,4,2,1,37,28.2,2,0,1,LOW
Desktop,8,4,6,3,2,64.9,0,1,1,HIGH
Laptop,5,3,7,1,98,34.9,0,2,0,MEDIUM
Laptop,7,6,4,2,24,52.3,2,0,2,HIGH
Desktop,4,3,4,3,16,25.4,0,0,1,LOW
Laptop,5,2,2,1,69,39.0,2,1,2,HIGH
Workstation,6,4,6,2,18,59.3,0,2,0,HIGH
Server,6,3,5,1,77,19.0,0,0,2,LOW
Server,3,2,4,2,88,49.6,1,1,2,HIGH
Desktop,7,6,4,0,27,0.0,0,0,2,LOW
Server,4,7,5,1,8,65.8,1,1,4,HIGH
Desktop,3,7,3,1,11,25.8,0,1,1,LOW
Server,4,6,3,3,6,36.1,1,2,0,MEDIUM
Laptop,10,5,3,1,58,35.8,0,3,0,MEDIUM
Laptop,4,2,4,0,45,16.6,1,0,1,LOW
Laptop,5,6,3,2,94,14.9,1,0,1,MEDIUM
Desktop,4,3,1,1,48,49.5,3,0,2,HIGH
Laptop,6,3,1,0,78,50.5,0,1,1,LOW
Laptop,2,4,5,2,56,18.5,1,0,0,LOW
Laptop,6,3,1,1,51,49.9,1,2,2,MEDIUM
Desktop,3,8,5,0,89,50.3,0,0,2,MEDIUM
Laptop,9,7,5,1,61,29.7,2,2,1,HIGH
Workstation,3,11,3,1,68,9.5,0,0,0,LOW
Desktop,4,1,4,2,54,37.2,0,1,0,LOW
Laptop,6,9,6,1,86,46.0,1,1,4,HIGH
Desktop,7,4,5,2,36,36.7,0,0,2,MEDIUM
Laptop,4,3,4,1,6,25.0,1,0,0,LOW
Workstation,7,4,2,2,51,48.3,0,1,1,MEDIUM
Desktop,9,1,0,0,38,65.8,2,1,3,HIGH
Server,2,6,2,0,108,21.1,0,1,0,LOW
Laptop,6,5,3,2,116,31.4,1,0,2,HIGH
Desktop,9,4,2,2,26,98.3,0,1,2,HIGH
Desktop,10,2,4,1,51,44.4,0,0,2,MEDIUM
Workstation,5,3,2,0,52,10.1,0,0,3,LOW
Desktop,6,10,1,1,26,27.5,2,2,2,HIGH
Desktop,7,2,3,0,1,21.3,0,0,0,LOW
Laptop,6,3,2,2,120,46.4,0,0,2,MEDIUM
Laptop,8,5,7,1,78,44.8,0,0,0,MEDIUM
Desktop,4,5,4,2,49,24.0,1,2,1,MEDIUM
Desktop,7,6,5,2,22,78.8,1,0,0,HIGH
Laptop,4,9,4,3,57,39.9,0,0,2,MEDIUM
Workstation,4,3,5,3,32,28.0,0,1,1,MEDIUM
Workstation,5,4,4,1,27,11.1,0,1,0,LOW
Laptop,5,3,2,2,115,18.3,0,0,3,MEDIUM
Desktop,5,4,7,0,79,10.6,0,1,1,LOW
Laptop,5,5,4,1,37,33.8,0,0,1,LOW
Server,5,7,5,1,25,18.5,0,2,2,LOW
Laptop,2,8,2,2,93,55.2,0,1,1,MEDIUM
Server,8,4,4,2,73,25.1,2,0,3,HIGH
Server,3,5,2,1,103,56.5,0,0,1,MEDIUM
Server,8,3,5,1,91,48.8,3,0,0,HIGH
Laptop,5,5,2,2,48,52.2,2,0,0,HIGH
Workstation,3,4,2,1,78,57.7,0,1,1,MEDIUM
Laptop,7,4,4,1,46,81.9,2,0,1,HIGH
Laptop,10,3,4,0,10,19.3,1,2,0,LOW
Desktop,3,3,1,1,3,56.6,1,0,1,LOW
Laptop,3,7,5,0,9,46.8,0,0,1,LOW
Workstation,3,4,4,0,111,61.4,0,1,0,MEDIUM
Workstation,7,6,2,0,101,40.4,0,2,1,MEDIUM
Laptop,8,4,6,0,47,63.9,2,1,0,HIGH
Workstation,7,5,5,1,109,9.6,0,0,1,LOW
Laptop,5,5,1,1,89,15.9,0,0,1,LOW
Desktop,3,6,7,0,16,25.5,0,1,1,LOW
Laptop,8,6,4,3,27,36.4,0,0,1,MEDIUM
Workstation,4,3,7,0,45,39.0,0,1,1,LOW
Laptop,5,4,3,2,97,21.7,0,1,0,LOW
Laptop,2,6,4,1,79,16.2,2,0,0,LOW
Desktop,2,3,2,1,47,23.6,1,0,0,LOW
Workstation,3,5,5,1,101,0.4,1,1,1,LOW
Workstation,3,4,3,3,39,31.7,0,0,1,LOW
Server,2,5,1,1,109,36.7,0,1,0,LOW
Workstation,3,6,7,1,87,47.7,2,0,2,HIGH
Workstation,6,5,4,0,84,41.7,3,0,1,HIGH
Desktop,6,7,4,0,10,77.5,0,2,2,HIGH
Laptop,6,7,3,1,17,55.9,2,1,1,HIGH
Server,4,5,3,2,119,54.2,2,0,1,HIGH
Server,4,4,5,0,92,46.0,2,0,2,HIGH
Laptop,2,4,4,3,31,49.8,1,2,1,HIGH
Laptop,7,8,6,3,103,33.1,1,0,1,HIGH
Server,5,2,6,0,37,40.2,0,1,2,LOW
Laptop,2,6,7,2,42,80.3,1,0,0,HIGH
Workstation,4,7,2,0,36,36.5,0,4,2,MEDIUM
Laptop,7,2,4,1,59,8.7,0,0,0,LOW
Laptop,2,3,3,3,92,53.3,0,1,0,MEDIUM
Workstation,6,5,2,0,20,57.3,0,0,1,LOW
Laptop,4,5,2,0,117,41.4,0,0,0,LOW
Laptop,8,5,4,4,36,0.0,0,1,1,MEDIUM
Desktop,5,6,2,0,117,66.3,0,1,2,HIGH
Workstation,3,8,2,1,105,43.1,1,0,3,HIGH
Laptop,8,4,4,1,66,31.2,1,2,2,HIGH
Laptop,6,2,3,1,10,64.1,1,0,2,MEDIUM
Server,3,4,3,0,69,0.0,1,1,2,LOW
Workstation,8,2,4,1,92,40.5,3,0,1,HIGH
Desktop,5,3,7,1,118,26.1,0,1,1,MEDIUM
Laptop,4,3,7,2,11,70.8,0,0,1,MEDIUM
Laptop,3,3,5,0,90,43.3,0,0,1,LOW
Laptop,4,3,1,1,35,19.0,0,0,1,LOW
Laptop,8,6,4,0,90,63.0,1,0,3,HIGH
Server,6,5,2,0,70,0.0,2,0,1,LOW
Laptop,4,8,10,2,104,49.2,2,2,0,HIGH
Desktop,5,10,7,0,0,10.2,0,1,1,LOW
Server,5,8,1,1,61,27.8,0,0,2,LOW
Desktop,9,5,2,1,81,32.7,0,1,2,MEDIUM
Laptop,5,6,5,2,45,58.0,0,3,1,HIGH
Workstation,8,6,8,4,38,86.5,0,0,2,HIGH
Server,3,7,3,0,39,0.0,0,0,2,LOW
Server,8,6,5,2,90,47.8,0,1,0,HIGH
Laptop,7,6,5,4,25,86.5,1,0,1,HIGH
Laptop,4,5,6,0,118,25.4,1,2,1,HIGH
Workstation,3,5,8,0,25,24.0,0,0,2,LOW
Laptop,6,3,6,1,50,43.2,0,2,1,MEDIUM
Laptop,4,6,6,2,120,56.2,0,0,1,HIGH
Desktop,5,10,7,3,3,52.5,0,0,1,HIGH
Server,6,4,4,1,40,30.1,1,0,1,LOW
Workstation,3,2,5,3,102,20.3,0,3,1,HIGH
Laptop,2,7,3,1,38,67.0,0,0,0,LOW
Workstation,8,6,2,0,33,21.0,0,1,1,LOW
Laptop,4,5,3,3,0,0.0,1,0,2,LOW
Desktop,5,6,5,1,17,6.0,0,1,0,LOW
Server,0,4,2,2,23,25.3,1,1,4,MEDIUM
Laptop,5,8,4,1,106,70.8,0,0,1,HIGH
Laptop,4,4,3,2,66,11.9,1,1,4,MEDIUM
Laptop,1,5,4,0,28,71.5,0,0,0,LOW
Workstation,5,8,5,2,97,66.8,2,2,0,HIGH
Desktop,8,6,1,0,73,43.0,0,1,1,LOW
Workstation,2,5,2,1,38,0.0,1,1,0,LOW
Workstation,6,3,8,0,30,12.0,0,0,1,LOW
Desktop,1,4,3,3,26,24.1,1,0,1,LOW
Server,5,9,4,1,86,76.1,2,2,0,HIGH
Laptop,6,8,2,2,86,25.5,0,1,1,MEDIUM
Laptop,3,7,5,0,78,21.0,0,0,1,LOW
Workstation,7,3,3,0,54,42.1,1,0,1,LOW
Server,7,11,2,0,61,7.0,1,1,0,LOW
Laptop,2,8,3,0,108,37.5,0,0,1,LOW
Desktop,4,3,5,1,67,20.4,0,1,2,LOW
Desktop,2,8,4,0,74,97.1,0,0,3,HIGH
Workstation,4,7,5,1,27,17.8,0,2,1,LOW
Desktop,9,1,6,2,55,80.5,2,0,1,HIGH
Laptop,3,4,6,0,2,12.9,1,1,2,LOW
Laptop,2,6,2,0,55,43.8,1,1,1,LOW
Desktop,4,8,2,2,96,49.0,0,1,0,MEDIUM
Server,8,8,5,1,81,41.1,1,0,1,HIGH
Workstation,3,8,3,0,107,39.8,2,1,1,HIGH
Desktop,3,8,6,0,41,57.0,0,2,1,MEDIUM
Laptop,2,9,7,1,94,47.2,0,0,2,HIGH
Laptop,5,5,1,1,88,34.2,0,1,2,LOW
Server,2,3,4,2,85,23.2,0,0,1,LOW
Workstation,1,4,3,1,96,34.4,0,0,3,LOW
Laptop,8,10,3,0,57,34.1,0,1,1,LOW
Laptop,3,5,3,2,41,33.6,0,0,0,LOW
Desktop,6,4,8,0,70,39.7,0,0,3,MEDIUM
Laptop,4,3,3,1,46,7.0,0,0,1,LOW
Workstation,4,4,2,2,83,15.4,0,1,0,LOW
Laptop,1,5,5,2,104,56.3,1,1,1,HIGH
Laptop,7,9,4,1,3,0.0,0,1,2,LOW
Workstation,6,3,3,1,75,64.3,1,0,1,HIGH
Laptop,3,3,4,4,51,25.7,0,0,0,LOW
Laptop,4,6,2,2,12,74.7,0,2,1,MEDIUM
Laptop,9,11,2,0,27,65.0,0,0,1,MEDIUM
Laptop,6,7,2,2,99,30.8,1,0,1,MEDIUM
Laptop,3,6,4,1,44,33.1,1,0,0,LOW
Laptop,8,10,3,1,10,73.1,0,1,3,HIGH
Laptop,4,8,4,0,90,66.0,0,0,1,MEDIUM
Laptop,3,5,2,1,28,59.4,0,1,1,LOW
Desktop,6,6,2,1,43,63.2,0,0,0,LOW
Server,3,8,4,1,23,14.1,0,0,1,LOW
Laptop,7,9,5,1,89,42.5,0,3,2,HIGH
Laptop,3,4,8,1,111,21.1,2,0,0,HIGH
Desktop,3,3,3,0,117,13.5,1,0,1,LOW
Workstation,8,4,4,1,9,41.6,2,0,1,MEDIUM
Workstation,0,6,4,2,111,28.9,1,0,0,MEDIUM
Laptop,5,6,5,1,76,34.3,0,1,1,MEDIUM
Laptop,3,5,5,1,100,27.0,0,0,2,LOW
Laptop,7,1,4,2,9,10.4,0,0,1,LOW
Laptop,9,6,3,1,103,75.3,0,2,1,HIGH
Desktop,9,4,3,1,39,41.4,1,0,3,MEDIUM
Laptop,0,2,1,0,47,6.3,0,2,1,LOW
Laptop,8,6,4,0,108,42.0,0,1,2,MEDIUM
Laptop,1,13,5,5,88,71.5,2,2,2,HIGH
Desktop,13,6,4,1,61,59.1,2,0,2,HIGH
Laptop,5,3,6,1,80,26.6,1,0,0,MEDIUM
Workstation,4,7,6,2,43,27.1,0,1,0,LOW
Laptop,3,6,2,1,118,16.9,2,2,0,HIGH
Workstation,5,6,6,4,8,21.7,0,1,4,HIGH
Laptop,5,4,8,2,69,23.5,0,0,1,MEDIUM
Workstation,6,9,3,0,5,5.7,0,0,0,LOW
Workstation,7,4,5,1,52,28.2,1,1,2,MEDIUM
Workstation,10,2,2,1,61,45.6,0,0,0,LOW
Workstation,4,2,2,0,101,28.9,0,1,3,LOW
Server,4,6,2,1,113,42.8,0,1,1,MEDIUM
Server,9,2,4,0,90,73.7,0,1,1,HIGH
Server,4,3,4,0,116,78.4,0,0,1,MEDIUM
Laptop,7,5,3,1,15,36.5,0,2,2,MEDIUM
Desktop,2,4,1,0,63,57.4,0,0,1,LOW
Desktop,3,11,2,1,72,34.3,0,2,0,LOW
Workstation,7,5,2,2,9,27.3,0,0,0,LOW
Desktop,8,4,1,0,71,13.4,0,0,0,LOW
Laptop,5,4,3,1,5,39.9,1,1,1,LOW
Server,4,7,9,1,76,61.9,0,0,1,HIGH
Laptop,3,3,0,0,26,10.0,1,1,0,LOW
Laptop,3,9,2,1,113,31.7,0,0,1,LOW
Desktop,5,2,3,0,39,30.6,0,2,2,LOW
Laptop,3,8,5,1,72,43.4,1,0,0,MEDIUM
Laptop,3,3,2,2,73,43.8,2,2,0,HIGH
Laptop,6,6,4,1,105,49.8,1,0,3,HIGH
Laptop,4,5,3,1,40,79.7,0,1,1,MEDIUM
Laptop,6,4,4,2,43,18.8,0,0,0,LOW
Laptop,2,8,5,1,82,17.6,0,1,2,LOW
Server,3,4,7,1,6,43.4,0,0,0,LOW
Laptop,4,6,1,1,67,70.0,0,2,1,MEDIUM
Workstation,5,4,3,2,45,5.8,0,1,1,LOW
Workstation,1,1,1,1,118,45.3,0,1,1,LOW
Desktop,5,4,6,0,64,33.6,0,0,0,LOW
Laptop,8,7,4,0,93,56.8,0,0,1,MEDIUM
Desktop,13,7,3,1,100,51.8,1,1,1,HIGH
Workstation,8,6,2,0,17,39.1,1,0,1,LOW
Server,6,6,3,1,76,48.7,0,0,1,MEDIUM
Workstation,4,8,9,0,82,23.5,0,1,1,MEDIUM
Desktop,3,3,2,0,53,55.6,0,1,1,LOW
Server,6,7,3,1,24,68.5,0,0,1,MEDIUM
Laptop,4,3,3,0,55,40.2,0,1,1,LOW
Server,12,10,3,1,6,29.0,1,1,0,MEDIUM
Laptop,6,3,2,1,120,34.8,0,2,1,MEDIUM
Server,5,1,6,1,10,55.4,0,1,0,LOW
Workstation,2,5,0,0,17,37.1,2,1,0,LOW
Laptop,6,8,3,1,16,11.6,0,0,3,LOW
Desktop,3,6,3,2,24,58.9,3,1,1,HIGH
Laptop,6,4,4,0,22,16.4,0,2,1,LOW
Server,3,4,3,1,75,47.3,0,0,1,LOW
Laptop,7,10,3,1,13,0.0,0,3,5,MEDIUM
Workstation,7,3,4,1,84,40.4,1,0,1,MEDIUM
Laptop,5,12,0,0,49,36.5,0,0,0,LOW
Workstation,10,4,6,0,47,0.0,0,1,1,LOW
Workstation,4,5,2,0,61,45.3,1,0,2,LOW
Desktop,5,8,5,0,3,13.8,1,0,3,LOW
Server,3,3,4,1,60,39.9,0,0,1,LOW
Server,6,9,6,0,63,28.9,0,1,2,MEDIUM
Workstation,2,7,5,0,90,5.4,0,1,0,LOW
Laptop,2,2,3,1,17,15.0,0,0,0,LOW
Desktop,3,7,5,0,6,16.8,0,0,1,LOW
Laptop,8,2,4,1,6,59.6,1,2,2,HIGH
Desktop,6,4,9,0,116,56.4,1,0,2,HIGH
Laptop,3,6,5,0,41,86.3,1,1,2,HIGH
Desktop,10,12,4,2,28,26.7,1,0,0,MEDIUM
Desktop,7,6,3,2,16,26.0,1,0,1,LOW
Desktop,6,4,1,1,31,41.0,1,0,0,LOW
Desktop,6,1,5,1,53,30.2,1,0,2,MEDIUM
Server,5,5,6,0,117,25.2,0,1,1,MEDIUM
Server,2,3,3,0,92,39.2,1,0,3,MEDIUM
Desktop,4,3,2,1,103,53.5,1,1,3,HIGH
Desktop,6,6,3,2,5,0.0,1,0,0,LOW
Workstation,6,5,1,1,69,25.4,0,0,1,LOW
Laptop,3,8,5,2,60,7.1,1,0,0,LOW
Laptop,3,9,1,1,23,34.6,1,1,0,LOW
Laptop,4,6,5,2,60,47.5,0,0,1,MEDIUM
Server,2,5,2,2,70,62.6,1,1,0,HIGH
Laptop,5,3,5,3,0,28.5,0,0,1,LOW
Server,2,6,5,0,118,40.3,1,0,1,MEDIUM
Server,6,3,2,2,89,1.0,3,0,3,HIGH
Laptop,1,6,3,0,111,19.1,1,0,0,LOW
Workstation,3,10,3,1,10,42.6,0,1,1,LOW
Server,5,4,5,2,7,8.1,2,0,2,MEDIUM
Laptop,4,4,7,2,112,65.2,2,1,2,HIGH
Laptop,3,1,6,1,112,49.5,0,0,1,MEDIUM
Laptop,3,3,8,3,77,18.1,1,0,1,HIGH
Laptop,6,5,2,2,24,5.4,0,0,1,LOW
Laptop,8,4,2,0,34,22.2,0,1,0,LOW
Workstation,7,6,1,0,96,18.2,2,0,1,MEDIUM
Desktop,5,7,9,2,111,11.2,1,0,2,HIGH
Laptop,11,3,8,0,81,7.1,1,1,1,MEDIUM
Server,4,1,2,0,48,32.9,0,0,1,LOW
Desktop,6,3,4,2,99,54.1,0,0,2,HIGH
Workstation,1,7,7,0,31,22.4,0,0,0,LOW
Server,5,4,1,0,15,47.8,0,0,1,LOW
Desktop,7,2,4,0,46,30.8,0,0,3,LOW
Laptop,4,1,8,1,56,51.5,0,0,0,LOW
Workstation,6,9,0,0,74,20.7,0,2,0,LOW
Server,6,2,3,1,83,44.2,0,1,2,MEDIUM
Workstation,8,3,5,2,87,40.6,0,1,2,HIGH
Laptop,8,8,4,0,24,68.0,2,1,1,HIGH
Workstation,9,3,7,2,80,50.3,0,1,0,HIGH
Server,6,4,5,3,5,43.6,1,1,0,MEDIUM
Laptop,3,4,2,1,111,5.7,0,0,1,LOW
Desktop,6,6,4,0,53,26.4,0,0,3,LOW
Server,1,6,3,2,115,20.4,0,0,0,LOW
Laptop,3,3,4,2,105,19.9,0,0,1,LOW
Desktop,6,5,4,2,23,38.3,0,0,1,LOW
Workstation,9,3,6,0,13,43.3,0,0,1,LOW
Laptop,9,3,2,2,110,44.2,0,0,2,MEDIUM
Desktop,2,6,4,0,59,65.8,0,0,0,LOW
Desktop,5,8,3,1,12,48.6,0,0,1,LOW
Laptop,3,4,8,1,73,11.0,1,1,0,MEDIUM
Workstation,5,3,5,2,115,42.5,1,1,1,HIGH
Server,2,9,6,1,72,50.9,1,0,0,MEDIUM
Laptop,4,5,12,3,31,65.8,1,0,1,HIGH
Workstation,3,10,5,2,40,34.6,1,0,1,MEDIUM
Workstation,3,5,3,1,32,34.8,0,1,1,LOW
Laptop,4,4,3,3,65,61.7,0,0,0,MEDIUM
Workstation,4,6,5,1,51,41.9,1,1,1,MEDIUM
Laptop,3,6,1,1,41,2.8,0,1,1,LOW
Workstation,9,5,4,1,21,0.0,2,1,1,MEDIUM
Server,2,9,4,0,3,78.5,0,0,3,MEDIUM
Server,4,2,2,2,100,0.3,0,3,2,MEDIUM
Laptop,2,4,0,0,97,34.3,0,1,2,LOW
Workstation,9,5,5,0,15,57.4,1,2,2,HIGH
Laptop,8,12,3,3,27,0.0,0,0,1,LOW
Laptop,4,7,6,0,53,14.2,1,1,1,LOW
Laptop,4,2,3,0,72,10.6,1,3,0,LOW
Server,5,8,2,2,109,77.6,0,1,0,HIGH
Laptop,4,6,2,1,84,82.4,1,0,0,HIGH
Workstation,7,5,1,1,76,21.8,1,0,0,LOW
Server,6,9,1,0,90,50.7,1,1,1,MEDIUM
Laptop,2,3,1,1,73,44.8,2,0,4,HIGH
Laptop,8,6,6,5,112,31.8,0,0,2,HIGH
Laptop,2,2,1,0,120,2.2,2,0,3,LOW
Desktop,5,5,8,0,54,88.8,3,0,3,HIGH
Workstation,3,5,7,1,2,0.0,0,0,1,LOW
Laptop,3,5,4,0,120,42.7,1,1,1,MEDIUM
Workstation,7,3,1,0,38,23.8,0,1,2,LOW
Laptop,4,4,3,1,32,60.2,0,0,0,LOW
Workstation,8,6,3,2,15,56.6,1,0,1,MEDIUM
Workstation,5,7,2,1,92,16.5,0,1,2,LOW
Server,4,2,2,2,22,20.6,0,1,0,LOW
Server,5,4,5,2,116,3.9,0,0,0,LOW
Workstation,6,5,3,0,26,42.3,0,4,0,MEDIUM
Laptop,5,4,4,1,8,53.6,0,1,1,LOW
Laptop,5,8,0,0,75,28.3,1,0,0,LOW
Laptop,4,3,2,0,24,32.6,0,1,1,LOW
Desktop,6,6,4,2,32,80.0,0,0,0,MEDIUM
Server,2,3,2,2,12,58.6,1,0,0,LOW
Server,3,9,4,1,80,67.7,2,0,1,HIGH
Workstation,0,6,3,1,26,0.0,2,0,1,LOW
Laptop,4,6,3,0,89,50.0,0,1,2,MEDIUM
Server,3,6,6,2,31,43.5,1,1,2,HIGH
Laptop,2,5,4,0,48,10.5,0,0,0,LOW
Laptop,7,8,5,0,59,15.0,0,1,1,LOW
Server,2,5,2,1,64,33.2,2,3,0,HIGH
Workstation,6,3,5,1,100,8.5,0,1,1,LOW
Desktop,5,4,9,2,15,20.4,2,1,3,HIGH
Laptop,3,2,8,3,27,27.8,0,1,3,MEDIUM
Desktop,6,2,4,1,91,50.6,0,2,1,MEDIUM
Laptop,5,3,2,2,103,22.5,0,0,2,LOW
Workstation,4,8,6,0,50,28.2,1,2,0,MEDIUM
Server,8,5,2,2,0,60.5,0,1,1,MEDIUM
Laptop,5,7,4,1,100,0.0,1,0,2,LOW
Laptop,4,2,5,1,73,43.0,1,0,0,MEDIUM
Laptop,3,4,6,0,63,46.6,0,1,1,LOW
Workstation,4,6,3,2,47,47.2,1,1,2,HIGH
Desktop,5,6,9,0,84,27.0,0,1,0,MEDIUM
Server,3,4,3,0,34,14.6,1,1,1,LOW
Server,4,3,5,1,43,71.4,2,0,0,HIGH
Desktop,9,5,2,0,93,19.2,1,0,1,LOW
Laptop,4,2,6,2,44,13.4,1,1,0,LOW
Workstation,4,7,4,2,114,38.4,1,0,1,HIGH
Laptop,3,6,7,3,52,21.7,0,0,1,MEDIUM
Desktop,5,5,2,0,68,61.1,2,0,0,MEDIUM
